,index,Rating,car_year,brand_name,date,review,review for sentiment analysis,sentiment score,relative sentiments
12,67,1.0,2018,Audi,2018-06-28,noisy problem customer service suck make watch-like rapid ticking noise day took dealership multiple time told normal operation keep pulling right alignment fix dealership told 's normal central locking beep lock worked customer service resolve issue end told stay issue normal mistake buy manufacture stand behind product stay far away,"['noisy', 'problem', 'customer', 'service', 'suck', 'make', 'watch-like', 'rapid', 'ticking', 'noise', 'day', 'took', 'dealership', 'multiple', 'time', 'told', 'normal', 'operation', 'keep', 'pulling', 'right', 'alignment', 'fix', 'dealership', 'told', ""'s"", 'normal', 'central', 'locking', 'beep', 'lock', 'worked', 'customer', 'service', 'resolve', 'issue', 'end', 'told', 'stay', 'issue', 'normal', 'mistake', 'buy', 'manufacture', 'stand', 'behind', 'product', 'stay', 'far', 'away']","{'neg': 0.169, 'neu': 0.785, 'pos': 0.045, 'compound': -0.7269}",negative
13,73,1.0,2018,Audi,2018-06-03,reviewer excited decided buy brand q5 month research based reliability owner satisfaction score consumer reports went q5 xc60 regretting choice owned le month night brought front driver side turn signal stopped working sat shop day replaced headlight assembly last week engine failed landed broken-down side 90-year-old grandpa short trip dealer said entire engine put dealer act favor embarrassed apologetic poor quality owning nothing nightmare,"['reviewer', 'excited', 'decided', 'buy', 'brand', 'q5', 'month', 'research', 'based', 'reliability', 'owner', 'satisfaction', 'score', 'consumer', 'reports', 'went', 'q5', 'xc60', 'regretting', 'choice', 'owned', 'le', 'month', 'night', 'brought', 'front', 'driver', 'side', 'turn', 'signal', 'stopped', 'working', 'sat', 'shop', 'day', 'replaced', 'headlight', 'assembly', 'last', 'week', 'engine', 'failed', 'landed', 'broken-down', 'side', '90-year-old', 'grandpa', 'short', 'trip', 'dealer', 'said', 'entire', 'engine', 'put', 'dealer', 'act', 'favor', 'embarrassed', 'apologetic', 'poor', 'quality', 'owning', 'nothing', 'nightmare']","{'neg': 0.174, 'neu': 0.723, 'pos': 0.103, 'compound': -0.6705}",negative
14,79,3.0,2018,Audi,2018-05-05,wanted ’ problem heated/ventilated front seat q5 driver seat ’ heat much all- dealer measured degree passenger go poor service tech dealer said number “ spec ” discussion agreed bring rep said emerging concern engineer working timeframe fix ’ told software code update frustrating brand luxury deliver pay,"['wanted', '’', 'problem', 'heated/ventilated', 'front', 'seat', 'q5', 'driver', 'seat', '’', 'heat', 'much', 'all-', 'dealer', 'measured', 'degree', 'passenger', 'go', 'poor', 'service', 'tech', 'dealer', 'said', 'number', '“', 'spec', '”', 'discussion', 'agreed', 'bring', 'rep', 'said', 'emerging', 'concern', 'engineer', 'working', 'timeframe', 'fix', '’', 'told', 'software', 'code', 'update', 'frustrating', 'brand', 'luxury', 'deliver', 'pay']","{'neg': 0.2, 'neu': 0.733, 'pos': 0.067, 'compound': -0.7717}",negative
15,82,3.0,2018,Audi,2018-04-02,expected researched bit wanted disappointed,"['expected', 'researched', 'bit', 'wanted', 'disappointed']","{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",negative
16,83,3.0,2018,Audi,2018-02-20,technology nightmare..2018 sq5 purchased sunday check engine light came monday morning took dealer replace sensor took week get part order part replacing emission sensor technology nightmare need degree figure turn driver assist feature want worst mmi system bluetooth wifi syncing phone wanted use ipod listen music driven simple plugging usb port technology recognize ipod year old backward compatibility device technology concern rocket smooth,"['technology', 'nightmare..2018', 'sq5', 'purchased', 'sunday', 'check', 'engine', 'light', 'came', 'monday', 'morning', 'took', 'dealer', 'replace', 'sensor', 'took', 'week', 'get', 'part', 'order', 'part', 'replacing', 'emission', 'sensor', 'technology', 'nightmare', 'need', 'degree', 'figure', 'turn', 'driver', 'assist', 'feature', 'want', 'worst', 'mmi', 'system', 'bluetooth', 'wifi', 'syncing', 'phone', 'wanted', 'use', 'ipod', 'listen', 'music', 'driven', 'simple', 'plugging', 'usb', 'port', 'technology', 'recognize', 'ipod', 'year', 'old', 'backward', 'compatibility', 'device', 'technology', 'concern', 'rocket', 'smooth']","{'neg': 0.062, 'neu': 0.919, 'pos': 0.02, 'compound': -0.5859}",negative
17,84,2.0,2018,Audi,2018-02-19,issue first day day shop gone following sunfroof shade replaced entire sunroof front power window trying go “ auto-up go way ’ stop dash vent plastic debris vent jagged fell vent rattled lost mind took visit day diagnose rear led reading light ’ needed replaced unbelievable never issue ford buy,"['issue', 'first', 'day', 'day', 'shop', 'gone', 'following', 'sunfroof', 'shade', 'replaced', 'entire', 'sunroof', 'front', 'power', 'window', 'trying', 'go', '“', 'auto-up', 'go', 'way', '’', 'stop', 'dash', 'vent', 'plastic', 'debris', 'vent', 'jagged', 'fell', 'vent', 'rattled', 'lost', 'mind', 'took', 'visit', 'day', 'diagnose', 'rear', 'led', 'reading', 'light', '’', 'needed', 'replaced', 'unbelievable', 'never', 'issue', 'ford', 'buy']","{'neg': 0.089, 'neu': 0.875, 'pos': 0.036, 'compound': -0.4019}",negative
18,88,2.0,2018,Audi,2018-01-18,q-5 disappointed q5 compare car look found problem light malfunction signed showed up- fixed clicking noise start driver side heating seat get hot compare seat went service anything pick solution disappointed,"['q-5', 'disappointed', 'q5', 'compare', 'car', 'look', 'found', 'problem', 'light', 'malfunction', 'signed', 'showed', 'up-', 'fixed', 'clicking', 'noise', 'start', 'driver', 'side', 'heating', 'seat', 'get', 'hot', 'compare', 'seat', 'went', 'service', 'anything', 'pick', 'solution', 'disappointed']","{'neg': 0.233, 'neu': 0.707, 'pos': 0.06, 'compound': -0.765}",negative
19,94,2.0,2018,Audi,2017-12-21,q5 research option purchase plus prestige front storage designed mph window open entire start shake transmission take full change switching reverse visa versa,"['q5', 'research', 'option', 'purchase', 'plus', 'prestige', 'front', 'storage', 'designed', 'mph', 'window', 'open', 'entire', 'start', 'shake', 'transmission', 'take', 'full', 'change', 'switching', 'reverse', 'visa', 'versa']","{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1779}",negative
20,95,2.0,2018,Audi,2017-12-19,fool money departed pluses wonderful b sound system acceleration overall feel driving minus side overly stiff ride noisy continental tire wind noise side mirror stop-start feature noticeable annoying.﻿ ventilated seat uncomfortable firm call uneven feel q5 suggest ordering prestige model thicker glass quieter ride better deal premium feature money mistake,"['fool', 'money', 'departed', 'pluses', 'wonderful', 'b', 'sound', 'system', 'acceleration', 'overall', 'feel', 'driving', 'minus', 'side', 'overly', 'stiff', 'ride', 'noisy', 'continental', 'tire', 'wind', 'noise', 'side', 'mirror', 'stop-start', 'feature', 'noticeable', 'annoying.\ufeff', 'ventilated', 'seat', 'uncomfortable', 'firm', 'call', 'uneven', 'feel', 'q5', 'suggest', 'ordering', 'prestige', 'model', 'thicker', 'glass', 'quieter', 'ride', 'better', 'deal', 'premium', 'feature', 'money', 'mistake']","{'neg': 0.162, 'neu': 0.726, 'pos': 0.111, 'compound': -0.25}",negative
21,101,3.0,2018,Audi,2017-09-29,review know type front seat normal seating seating uncomfortable overall,"['review', 'know', 'type', 'front', 'seat', 'normal', 'seating', 'seating', 'uncomfortable', 'overall']","{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}",negative
